bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,NO2_column_number_density
0.127281798,0.032650531,0.055915911,0.099582542,0.034467291,0.120695174,0.036952459,0.417685608,0.073687197,0.000149965
0.141748757,0.031184016,0.055340093,0.075957702,0.041018363,0.149291866,0.037370147,0.40060617,0.06634146,0.000153329
0.167490458,0.050442517,0.059173294,0.047931705,0.053031478,0.153878067,0.039718515,0.356518468,0.067201006,0.000153368
0.157454057,0.154849263,0.073199244,0.037328863,0.064328984,0.164345518,0.039082471,0.23571428,0.0598657,0.000154576
0.097027839,0.314383888,0.057719887,0.038571339,0.063842274,0.143408106,0.038529396,0.165659533,0.057771221,0.000154735
0.09047854,0.388320517,0.048521463,0.042138437,0.073224016,0.149232915,0.043553377,0.101751421,0.044817076,0.000154884
0.068217444,0.512376875,0.047951751,0.035846248,0.071867779,0.105038658,0.044218255,0.070978794,0.034139464,0.000154923
0.043897974,0.595046886,0.04061145,0.039239489,0.054667315,0.065120909,0.036199568,0.064452888,0.054624511,0.000154894
0.045276951,0.627251625,0.032871478,0.040371954,0.050319219,0.05819744,0.032540337,0.05466018,0.054232926,0.00015717
0.064228401,0.553132287,0.032805116,0.043712744,0.061262595,0.078330972,0.035150528,0.061580252,0.064794236,0.000157209
0.056930764,0.579239541,0.030370252,0.04210712,0.049861603,0.070548535,0.031232537,0.066215754,0.069474586,0.000156491
0.042320305,0.674039597,0.028382913,0.038021906,0.032030381,0.049854789,0.027561188,0.048777246,0.058322663,0.00015652
0.039913377,0.695453586,0.034893529,0.039499864,0.026731571,0.044327416,0.029368177,0.044173346,0.044842922,0.000156925
0.045426428,0.633794413,0.046367884,0.053087715,0.027358904,0.06065229,0.031741563,0.049521461,0.050703308,0.000156922
0.046013706,0.602722317,0.067930799,0.047000885,0.031464879,0.068241358,0.040108716,0.041857004,0.052344994,0.000156489
0.04410282,0.510347337,0.087555885,0.050723925,0.040907186,0.084850029,0.042830354,0.063488066,0.069442415,0.000161351
0.057156716,0.326249164,0.107946578,0.054731552,0.102736996,0.118626092,0.050964771,0.09474102,0.070532324,0.000161132
0.068552625,0.151754566,0.100547904,0.042893535,0.231055544,0.1791262,0.045484986,0.139517114,0.037052255,0.000161171
0.061413758,0.088152886,0.0674544,0.045160141,0.223909067,0.235610577,0.036560456,0.186550812,0.052505706,0.000161198
0.060059997,0.060089916,0.064887487,0.046921525,0.281270838,0.224660609,0.039700271,0.182174329,0.037944586,0.000161237
0.067676511,0.070329849,0.079669059,0.034331449,0.245458437,0.160679431,0.037683473,0.25284619,0.04696781,0.000160617
0.083707161,0.090873692,0.070362225,0.026452886,0.136964143,0.14387075,0.038727328,0.357120041,0.048770506,0.000161521
0.089892,0.102561001,0.054318243,0.026981632,0.115338259,0.143038527,0.04561525,0.38127836,0.037470506,0.000167091
0.080714738,0.159824267,0.04413487,0.030046701,0.082993507,0.111790314,0.047159806,0.395734219,0.042502564,0.000166832
0.087592009,0.177155495,0.038481489,0.03048204,0.063272944,0.10437703,0.053101779,0.402152911,0.038523406,0.000167099
0.086960913,0.14823252,0.03528798,0.035019055,0.061724224,0.131065742,0.041445942,0.40989224,0.044939911,0.00016786
0.098890364,0.097446554,0.03900408,0.028167386,0.058869319,0.118794326,0.034762537,0.473873922,0.048642539,0.000167843
0.083477754,0.149563194,0.041359007,0.029268894,0.052114837,0.109405333,0.040396485,0.446202636,0.045432933,0.000167199
0.083477754,0.149563194,0.041359007,0.029268894,0.052114837,0.109405333,0.040396485,0.446202636,0.045432933,0.000167121
0.07268,0.231877753,0.04106164,0.034990506,0.047884947,0.101207011,0.048588709,0.374823606,0.040660665,0.000166884
0.069273636,0.266861409,0.037305281,0.040981287,0.054439223,0.106189106,0.04180707,0.32532597,0.054517576,0.000166877
